"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Edit","Format","Shift+Ctrl+F","DLTK View"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","DLTK View"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Script Source"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"JavaScript Debug","Open Source","Shift+Ctrl+3","Debugging"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Format Active Elements","Ctrl+I","Editing PHP source"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing PHP source"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Edit","Format","Esc Ctrl+F","Editing PHP source"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Script Source"
"Edit","Delete","Delete","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+N","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","Editing PHP source"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"File","Refresh","F5","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Text Editing","Delete Previous Word","Ctrl+W","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Window","Exit Full Screen","Esc","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Navigate","Quick Outline","Ctrl+O","Editing PHP source"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","DLTK View"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Source","Open manual","Shift+F2","Editing PHP source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Show Tooltip Description","F2","Editing PHP source"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Open Selection","F3","DLTK View"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Refactor - PHP","Move - Refactoring ","Shift+Alt+V","DLTK View"
"Window","Quick Switch Editor","Ctrl+F","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Navigate","Open Type Hierarchy","F4","Editing Script Source"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Views","PHP Script Explorer","Shift+Alt+Q E","In Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Script Source","Format","Esc Ctrl+F","Editing Script Source"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing PHP source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Edit","Generate Element Comment ","Shift+Ctrl+J","Editing PHP source"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"JavaScript Debug","Evaluate","Shift+Alt+E","Editing JavaScript Source"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Run","F9","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","Editing PHP source"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","DLTK View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Refactor - PHP","Move - Refactoring ","Shift+Alt+V","Editing PHP source"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Navigate","Open Type","Shift+Ctrl+T","Editing PHP source"
"Navigate","Open Declaration","F3","JavaScript View"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"View","Zoom Out","Ctrl+-","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Edit","Toggle Comment","Ctrl+7","Editing PHP source"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Script Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","Debugging Script"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Content Assist","Ctrl+N","In Dialogs and Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Window","Full Screen","Ctrl+Alt+Z","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Navigate","Open Selection","F3","Editing PHP source"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Views","JavaScript Type Hierarchy","Shift+Alt+Q T","JavaScript View"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Views","JavaScript Script Explorer","Shift+Alt+Q P","JavaScript View"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
